Sample Name;von;bis;Processed Delta 2H;Processed Delta 2H StDev;Processed Delta 18O;Processed Delta 18O StDev;Processed Delta 17O;Processed Delta 17O StDev;gemessen am;Messgerät;;
S2_25;01.12.2015;30.12.2015;-56,977;0,126;-8,42;0,004;-4,473;0,033;10.05.2017;LGR;;
S2_26;30.12.2015;01.02.2016;-93,338;0,035;-12,854;0,02;-6,789;0,037;04.05.2017;LGR;;
S2_27;01.02.2016;01.03.2016;-68,391;0,313;-9,768;0,125;-5,379;0,072;06.03.2017;LGR;;
S2_28;01.03.2016;31.03.2016;-76,341;0,466;-10,507;0,134;-5,816;0,034;06.03.2017;LGR;;
S2_29;31.03.2016;02.05.2016;-66,842;0,376;-9,398;0,122;-5,228;0,044;06.03.2017;LGR;;
S2_30;02.05.2016;01.06.2016;-48,906;1,669;-7,112;0,228;-4,03;0,075;06.03.2017;LGR;;
S2_31;01.06.2016;13.07.2016;-56,142;0,208;-7,765;0,014;-4,401;0,024;06.03.2017;LGR;;
S2_32;13.07.2016;03.08.2016;-22,063;0,084;-4,019;0;-2,194;0,007;06.03.2017;LGR;;
S2_33;03.08.2016;01.09.2016;-32,185;1,466;-5,13;0,168;-2,721;0,001;06.03.2017;LGR;;
S2_34;01.09.2016;04.10.2016;-39,16;0,105;-6,523;0,009;-3,409;0,034;06.03.2017;LGR;;
S2_35;04.10.2016;04.11.2016;-80,318;0,279;-11,784;0;-6,225;0,098;06.03.2017;LGR;;
S2_36;04.11.2016;01.12.2016;-70,904;0,265;-10,782;0,02;-5,698;0,087;06.03.2017;LGR;;
S2_37;01.12.2016;31.12.2016;-68,418;0,014;-9,764;0,09;-5,095;0,035;06.03.2017;LGR;;
S2_38;31.12.2016;31.01.2017;-67,635;;-9,986;;-5,165;;06.03.2017;LGR;;
S2_39;31.01.2017;01.03.2017;-56,659;0,223;-8,324;0,025;-4,297;0,073;06.03.2017;LGR;;
S2_40;01.03.2017;01.04.2017;-59,907;0,041;-8,363;0,009;-4,492;0,068;04.05.2017;LGR;;
S2_41;01.04.2017;02.05.2017;-55,227;0,118;-7,986;0,008;-4,304;0,078;04.05.2017;LGR;;
S2_42;02.05.2017;02.06.2017;-56,616;0,101;-7,848;0,148;-4,296;0,165;11.12.2017;LGR;;
S2_43;02.06.2017;01.07.2017;-44,924;0,132;-6,716;0,11;-3,683;0,182;11.12.2017;LGR;;
S2_44;01.07.2017;01.08.2017;-46,716;0,039;-6,559;0,186;-3,623;0,166;11.12.2017;LGR;;
S2_45;01.08.2017;31.08.2017;-26,842;0,009;-4,527;0,118;-2,529;0,119;11.12.2017;LGR;;
S2_46;31.08.2017;01.10.2017;-36,614;0,225;-6,06;0,345;-3,112;0,104;11.12.2017;LGR;;
S2_47;01.10.2017;31.10.2017;-34,97;0,16;-5,935;0,231;-3,193;0,1;11.12.2017;LGR;;
S2_48;31.10.2017;01.12.2017;-83,043;0,056;-11,851;0,029;-6,429;0,15;11.12.2017;LGR;;
S2_49;01.12.2017;02.01.2018;-69,476;0,1;-9,861;0,083;-5,3;0,046;19.02.2018;LGR;;
S2_50;02.01.2018;31.01.2018;-67,438;0,077;-9,288;0,112;-4,961;0,025;19.02.2018;LGR;;
S2_51;31.01.2018;25.02.2018;-83,991;0,132;-11,43;0,024;-6,087;0,083;03.04.2018;LGR;;
S2_52;25.02.2018;02.04.2018;-69,001;0,052;-9,4;0,037;-5,001;0,048;03.04.2018;LGR;;
S2_53;02.04.2018;30.04.2018;-55,056;0,297;-7,735;0,06;-4,186;0,011;09.05.2018;LGR;;
s2_54;30.04.2018;01.06.2018;-51,723;0,044;-7,682;0,188;-4,067;0,117;13.06.2018;LGR;;
S2_55;01.06.2018;04.07.2018;-38,942;0,282;-5,53;0,106;-2,891;0,061;06.08.2018;LGR;;
S2_56;04.07.2018;31.07.2018;-35,403;0,261;-4,278;0,063;-2,253;0,005;06.08.2018;LGR;;
S2_57;31.07.2018;31.08.2018;-32,141;0,611;-4,699;0,002;-2,538;0,006;17.10.2018;LGR;;
S2_58;31.08.2018;01.10.2018;-43,54;0,548;-6,556;0,075;-3,549;0,02;17.10.2018;LGR;;
S2_59;01.10.2018;02.11.2018;-60,781;0,121;-8,548;0,013;-4,804;0,105;09.05.2019;LGR;;
S2_60;02.11.2018;01.12.2018;-54,581;0,155;-7,912;0,03;-4,311;0,109;09.05.2019;LGR;;
S2_61;01.12.2018;02.01.2019;-60,624;0,006;-8,595;0,023;-4,603;0,094;09.05.2019;LGR;;
S2_62;02.01.2019;31.01.2019;-48,771;0,003;-7,698;0,012;-4,117;0,078;09.05.2019;LGR;;
S2_63;31.01.2019;01.03.2019;-62,304;0,08;-8,79;0,044;-4,695;0,117;09.05.2019;LGR;;
S2_64;01.03.2019;03.04.2019;-58,712;0,106;-8,168;0,037;-4,199;0,156;09.05.2019;LGR;;
S2_65;03.04.2019;01.05.2019;-49,594;0,233;-7,547;0,196;-4,296;0,164;09.05.2019;LGR;;
S2_66;01.05.2019;31.05.2019;-53,757;0,258;-7,669;0,145;-4,184;0,094;26.06.2019;LGR;;
S2-67;31.05.2019;01.07.2019;-32,629;0,099;-5,189;0,006;;;   13.10.2021;Picarro;;
S2-68;01.07.2019;31.07.2019;-41,723;0,014;-5,824;0,026;;;   13.10.2021;Picarro;;
S2-69;31.07.2019;01.09.2010;-36,058;0,111;-5,055;0,007;;;   13.10.2021;Picarro;;
S2-70;01.09.2010;30.09.2019;-46,561;0,003;-7,059;0,016;;;   14.10.2021;Picarro;;
S2-71;30.09.2019;31.10.2019;-43,314;0,040;-6,760;0,032;;;   14.10.2021;Picarro;;
S2-72;31.10.2019;02.12.2019;-71,798;0,081;-10,205;0,013;;;   14.10.2021;Picarro;;
S2-73;02.12.2019;29.12.2019;-71,462;0,013;-9,810;0,010;;;   14.10.2021;Picarro;;
S2-74;29.12.2019;30.01.2020;-71,598;0,026;-10,145;0,031;;;   14.10.2021;Picarro;;
S2-75;30.01.2020;03.03.2020;-58,064;0,095;-8,345;0,048;;;   14.10.2021;Picarro;;
S2-76;03.03.2020;01.04.2020;-71,294;0,061;-9,605;0,017;;;   14.10.2021;Picarro;;
S2-77;01.04.2020;01.05.2020;-53,984;0,121;-7,609;0,079;;;   14.10.2021;Picarro;;
S2-78;01.05.2020;01.06.2020;-39,950;0,157;-6,125;0,042;;;   14.10.2021;Picarro;;
S2-79;01.06.2020;01.07.2020;-42,233;0,192;-6,484;0,014;;;   14.10.2021;Picarro;;
S2-80;01.07.2020;03.08.2020;-33,707;0,053;-4,948;0,029;;;   14.10.2021;Picarro;;
S2-81;03.08.2020;31.08.2020;-38,730;0,240;-5,654;0,076;;;   14.10.2021;Picarro;;
S2-82;31.08.2020;30.09.2020;-66,142;0,391;-9,747;0,128;;;   14.10.2021;Picarro;;
S2-83;30.09.2020;02.11.2020;-49,956;0,044;-7,739;0,026;;;   14.10.2021;Picarro;;
S2-84;02.11.2020;01.12.2020;-41,927;0,036;-6,488;0,019;;;   14.10.2021;Picarro;;
S2-85;01.12.2020;02.01.2021;-97,067;0,043;-13,259;0,016;;;   14.10.2021;Picarro;;
S2-86;02.01.2021;01.03.2021;-77,275;0,049;-10,740;0,019;;;   14.10.2021;Picarro;;
S2-87;01.03.2021;06.04.2021;-45,758;0,222;-6,916;0,102;;;   14.10.2021;Picarro;;
S2-88;06.04.2021;03.05.2021;-36,026;0,065;-6,300;0,000;;;   14.10.2021;Picarro;;
S2-89;03.05.2021;09.06.2021;-50,958;0,093;-7,014;0,069;;;   14.10.2021;Picarro;;
S2-90;09.06.2021;02.07.2021;-52,863;0,048;-7,546;0,035;;;   14.10.2021;Picarro;;
S2-91;02.07.2021;09.08.2021;-48,057;0,233;-6,864;0,132;;;   14.10.2021;Picarro;;
S2-92;09.08.2021;03.09.2021;-49,434;0,011;-7,258;0,042;;;   14.10.2021;Picarro;;
S2-93;13.10.2021;02.11.2021;-32,873;0,310;-5,454;0,032;;;   14.01.2022;Picarro;;
S2-94;02.11.2021;04.12.2021;-77,565;0,457;-11,253;0,037;;;   14.01.2022;Picarro;;
;;;;;;;;;;;;
